Row ID,Order ID,Order Date,Order Priority,Order Quantity,Sales,Discount,Ship Mode,Profit,Unit Price,Shipping Cost,Customer Name,City,Zip Code,State,Region,Customer Segment,Product Category,Product Sub-Category,Product Name,Product Container,Product Base Margin,Ship Date
50,293,10/1/2015,High,27,244.57,0.01,Regular Air,46.71,8.69,2.99,Barry French,Tinley Park,60477,Illinois,Central,Consumer,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Small Box,0.39,10/3/2015
52,322,3/18/2015,Critical,20,2634.8555,0.08,Regular Air,257.76,155.99,8.08,Giulietta Weimer,Allen Park,48101,Michigan,Central,Corporate,Technology,Telephones and Communication,I888 World Phone,Small Box,0.6,3/20/2015
53,322,3/18/2015,Critical,46,281,0.1,Regular Air,-291.59,6.48,10.05,Giulietta Weimer,Ann Arbor,48104,Michigan,Central,Corporate,Office Supplies,Paper,Xerox 1997,Small Box,0.37,3/20/2015
56,324,3/19/2015,Critical,25,3872.634,0.02,Regular Air,667.33,179.99,13.99,Frank Gastineau,Sanford,27237,North Carolina,South,Small Business,Technology,Telephones and Communication,VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine,Medium Box,0.57,3/21/2015
65,384,3/2/2015,Low,50,7666.04,0.02,Delivery Truck,-1820.84,146.05,80.2,Sonia Cooley,Bend,97701,Oregon,West,Corporate,Furniture,Tables,BPI Conference Tables,Jumbo Box,0.71,3/9/2015
68,388,12/15/2015,Not Specified,46,517.93,0.06,Regular Air,-94.73,11.7,6.96,Jennifer Halladay,Bartlesville,74006,Oklahoma,Central,Home Office,Office Supplies,Appliances,Harmony HEPA Quiet Air Purifiers,Medium Box,0.5,12/18/2015
79,481,10/7/2015,High,44,4509.3775,0.01,Regular Air,1426.26,115.99,5.26,Art Foster,Highlands Ranch,80126,Colorado,West,Home Office,Technology,Telephones and Communication,636,Small Box,0.57,10/9/2015
81,487,8/17/2015,Critical,19,210.4,0.07,Regular Air,-18.96,10.89,4.5,Valerie Dominguez,Orlando,32839,Florida,South,Corporate,Office Supplies,Appliances,Belkin 6 Outlet Metallic Surge Strip,Small Box,0.59,8/18/2015
90,549,7/12/2015,Critical,13,70.24,0.03,Regular Air,-59.75,4.98,7.44,Ken Brennan,Monroeville,15146,Pennsylvania,East,Consumer,Office Supplies,Paper,Xerox 1922,Small Box,0.36,7/13/2015
91,549,7/12/2015,Critical,5,40.75,0.05,Regular Air,-27.57,6.48,8.74,Ken Brennan,Monroeville,15146,Pennsylvania,East,Consumer,Office Supplies,Paper,Xerox 1984,Small Box,0.36,7/13/2015
92,549,7/12/2015,Critical,30,1150.88,0.05,Express Air,-911.56,38.94,35,Ken Brennan,Monroeville,15146,Pennsylvania,East,Consumer,Office Supplies,Storage & Organization,"Eldon Base for stackable storage shelf, platinum",Large Box,0.8,7/12/2015
95,612,10/20/2015,Medium,50,262.87,0.1,Regular Air,-166.29,5.28,6.26,Sheri Gordon,Van Buren,72956,Arkansas,South,Corporate,Office Supplies,Paper,Xerox 1928,Small Box,0.4,10/22/2015
96,612,10/20/2015,Medium,43,2531.0875,0.01,Regular Air,881.68,65.99,2.5,Sheri Gordon,Van Buren,72956,Arkansas,South,Corporate,Technology,Telephones and Communication,6190,Small Box,0.55,10/22/2015
99,614,11/30/2015,High,41,628.22,0,Regular Air,163.81,14.34,5,Dave Hallsten,Camp Springs,20746,Maryland,East,Corporate,Furniture,Office Furnishings,Nu-Dell Leatherette Frames,Small Pack,0.49,12/2/2015
100,614,11/30/2015,High,24,3366.1,0.07,Delivery Truck,-335.32,138.75,52.42,Dave Hallsten,Camp Springs,20746,Maryland,East,Corporate,Furniture,Tables,Balt Split Level Computer Training Table,Jumbo Box,0.74,12/1/2015
104,644,4/30/2015,Critical,5,1679.58,0.01,Delivery Truck,-171.92,320.98,58.95,Bill Eplett,Auburn,13021,New York,East,Corporate,Furniture,Chairs & Chairmats,Hon 4070 Series Pagoda™ Round Back Stacking Chairs,Jumbo Drum,0.57,5/1/2015
123,801,2/16/2015,Critical,20,59.85,0.03,Regular Air,-47.41,2.74,3.5,Thais Sissman,Poinciana,34759,Florida,South,Corporate,Office Supplies,Pens & Art Supplies,Rogers Handheld Barrel Pencil Sharpener,Small Pack,0.58,2/19/2015
129,832,4/18/2015,Low,7,53.46,0.02,Regular Air,-17.58,6.48,5.9,Alice McCarthy,Kearns,84118,Utah,West,Corporate,Office Supplies,Paper,Xerox 1976,Small Box,0.37,4/22/2015
134,868,6/8/2015,Not Specified,32,716.84,0,Regular Air,134.72,21.78,5.94,Carlos Daly,Park Ridge,60068,Illinois,Central,Home Office,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,0.5,6/9/2015
135,868,6/8/2015,Not Specified,31,1474.33,0.04,Regular Air,114.46,47.98,3.61,Carlos Daly,Park Ridge,60068,Illinois,Central,Home Office,Technology,Computer Peripherals,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Small Pack,0.71,6/10/2015
145,929,10/1/2015,High,21,227.66,0.04,Regular Air,-100.16,10.97,6.5,Luke Foster,Chico,95928,California,West,Corporate,Technology,Computer Peripherals,Micro Innovations 104 Keyboard,Small Box,0.64,10/4/2015
146,929,10/1/2015,High,39,84.33,0.04,Regular Air,-64.29,2.08,2.56,Luke Foster,Chico,95928,California,West,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Kleencut® Forged Office Shears by Acme United Corporation,Small Pack,0.55,10/3/2015
149,933,8/4/2015,Not Specified,15,80.61,0.02,Regular Air,-4.72,5.28,2.99,Claudia Miner,Quincy,62301,Illinois,Central,Small Business,Office Supplies,Binders and Binder Accessories,"Wilson Jones 1"" Hanging DublLock® Ring Binders",Small Box,0.37,8/4/2015
156,967,6/20/2015,Medium,6,90.56,0.03,Regular Air,-37.58,13.99,7.51,Maureen Gastineau,Chula Vista,91911,California,West,Consumer,Technology,Office Machines,Sharp EL500L Fraction Calculator,Medium Box,0.39,6/22/2015
157,967,6/20/2015,Medium,42,1634.9,0.01,Regular Air,502.42,37.74,2.9,Maureen Gastineau,Chula Vista,91911,California,West,Consumer,Office Supplies,Pens & Art Supplies,Panasonic KP-150 Electric Pencil Sharpener,Small Pack,0.59,6/21/2015
158,967,6/20/2015,Medium,48,11278.18,0.01,Delivery Truck,1836.81,227.55,32.48,Maureen Gastineau,Chula Vista,91911,California,West,Consumer,Furniture,Tables,Hon Rectangular Conference Tables,Jumbo Box,0.68,6/23/2015
163,1027,6/2/2015,Medium,19,1406.15,0.04,Delivery Truck,-379.10,70.98,46.74,Hallie Redmond,Coos Bay,97420,Oregon,West,Home Office,Furniture,Bookcases,"Hon Metal Bookcases, Putty",Jumbo Box,0.56,6/4/2015
167,1057,2/18/2015,Critical,41,341.36,0.09,Regular Air,-52.48,8.46,3.62,Anthony Witt,Deer Park,77536,Texas,Central,Corporate,Technology,Computer Peripherals,"Imation 3.5"", RTS 247544 3M 3.5 DSDD, 10/Pack",Small Pack,0.61,2/20/2015
172,1088,5/20/2015,Low,13,269.02,0.1,Regular Air,-112.00,20.97,6.5,Muhammed Yedwab,Oakton,22124,Virginia,South,Consumer,Technology,Computer Peripherals,Microsoft Internet Keyboard,Small Box,0.78,5/27/2015
175,1154,2/13/2015,Critical,44,4462.23,0.04,Delivery Truck,440.72,100.98,26.22,Sylvia Foulston,Mount Prospect,60056,Illinois,Central,Home Office,Furniture,Bookcases,Hon 4-Shelf Metal Bookcases,Jumbo Box,0.6,2/15/2015
176,1154,2/13/2015,Critical,11,663.784,0.25,Regular Air,-481.04,71.37,69,Sylvia Foulston,Mount Prospect,60056,Illinois,Central,Home Office,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Large Box,0.68,2/15/2015
177,1154,2/13/2015,Critical,23,115.1,0.02,Regular Air,53.13,4.91,0.5,Thea Hendricks,Derry,03038,New Hampshire,East,Home Office,Office Supplies,Labels,Avery 493,Small Box,0.36,2/15/2015
178,1154,2/13/2015,Critical,7,516.65,0.01,Express Air,57.10,70.97,3.5,Thea Hendricks,Stamford,06903,Connecticut,East,Home Office,Office Supplies,Appliances,Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,Small Box,0.59,2/14/2015
179,1185,8/23/2015,Low,7,374.78,0.09,Regular Air,20.03,55.48,14.3,Ionia McGrath,Bessemer,35020,Alabama,South,Home Office,Office Supplies,Paper,Xerox 194,Small Box,0.37,8/27/2015
180,1187,11/19/2015,Medium,14,222.91,0.05,Regular Air,20.21,15.98,4,Guy Armstrong,Indianapolis,46203,Indiana,Central,Corporate,Technology,Computer Peripherals,Logitech Access Keyboard,Small Box,0.37,11/20/2015
183,1217,4/25/2015,Not Specified,25,662.16,0.07,Regular Air,185.21,28.48,1.99,Sung Shariari,Monroe,71203,Louisiana,South,Corporate,Technology,Computer Peripherals,"Memorex 4.7GB DVD+RW, 3/Pack",Small Pack,0.4,4/26/2015
185,1221,4/18/2015,Not Specified,1,14.68,0.06,Regular Air,-13.78,8.6,6.19,Lela Donovan,Shelby,49455,Michigan,Central,Corporate,Office Supplies,Binders and Binder Accessories,Avery Printable Repositionable Plastic Tabs,Small Box,0.38,4/18/2015
186,1221,4/18/2015,Not Specified,11,10145.14,0.03,Regular Air,3724.57,896.99,19.99,Lela Donovan,Southfield,48034,Michigan,Central,Corporate,Office Supplies,Binders and Binder Accessories,GBC DocuBind TL300 Electric Binding System,Small Box,0.38,4/20/2015
187,1221,4/18/2015,Not Specified,16,68.45,0.08,Regular Air,-57.88,4.24,5.41,Lela Donovan,Southfield,48034,Michigan,Central,Corporate,Office Supplies,Binders and Binder Accessories,Storex DuraTech Recycled Plastic Frosted Binders,Small Box,0.35,4/20/2015
191,1282,2/26/2015,Not Specified,26,892.38,0,Regular Air,366.48,31.78,1.99,Emily Grady,Prairie Village,66202,Kansas,Central,Home Office,Technology,Computer Peripherals,"Memorex 4.7GB DVD-RAM, 3/Pack",Small Pack,0.42,2/28/2015
192,1282,2/26/2015,Not Specified,10,29.41,0.01,Regular Air,-2.06,2.78,1.34,Emily Grady,Prairie Village,66202,Kansas,Central,Home Office,Office Supplies,Pens & Art Supplies,Prang Drawing Pencil Set,Wrap Bag,0.45,2/28/2015
193,1285,5/31/2015,Critical,27,3874.12,0,Delivery Truck,-305.98,130.98,54.74,Sally Matthias,Mankato,56001,Minnesota,Central,Corporate,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",Jumbo Box,0.69,5/31/2015
194,1285,5/31/2015,Critical,8,1452.216,0.05,Delivery Truck,-277.29,218.75,69.64,Sally Matthias,Mankato,56001,Minnesota,Central,Corporate,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Jumbo Box,0.77,6/1/2015
203,1344,4/15/2015,Low,15,834.904,0.06,Regular Air,-11.68,65.99,5.26,Jim Radford,Elgin,60123,Illinois,Central,Corporate,Technology,Telephones and Communication,g520,Small Box,0.59,4/22/2015
204,1344,4/15/2015,Low,18,2480.9205,0.01,Regular Air,313.58,155.99,8.99,Jim Radford,Elgin,60123,Illinois,Central,Corporate,Technology,Telephones and Communication,LX 788,Small Box,0.58,4/19/2015
205,1345,10/27/2015,Low,24,2443.85,0.08,Delivery Truck,-120.85,100.98,35.84,Ritsa Hightower,Ponca City,74601,Oklahoma,Central,Corporate,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Fully Assembled",Jumbo Box,0.62,10/31/2015
206,1346,6/17/2015,High,48,4789.89,0.09,Delivery Truck,421.15,100.98,26.22,Theone Pippenger,Owatonna,55060,Minnesota,Central,Corporate,Furniture,Bookcases,Hon 4-Shelf Metal Bookcases,Jumbo Box,0.6,6/19/2015
224,1447,10/14/2015,High,40,2135.9735,0.07,Regular Air,239.40,65.99,8.99,Barry Gonzalez,Parkville,21234,Maryland,East,Consumer,Technology,Telephones and Communication,SC-3160,Small Box,0.59,10/17/2015
225,1504,8/27/2015,Medium,31,293.18,0.08,Regular Air,64.22,10.01,1.99,Maribeth Schnelling,Fairfax,20151,Virginia,South,Corporate,Technology,Computer Peripherals,TDK 4.7GB DVD-R,Small Pack,0.41,8/28/2015
227,1537,2/13/2015,Not Specified,5,16.6,0.07,Regular Air,-20.30,2.16,6.05,Grant Thornton,Hampton,03842,New Hampshire,East,Corporate,Office Supplies,Binders and Binder Accessories,Peel & Stick Add-On Corner Pockets,Small Box,0.37,2/13/2015
231,1540,8/4/2015,High,30,80.9,0.09,Regular Air,5.76,2.88,0.7,Don Miller,Calumet City,60409,Illinois,Central,Home Office,Office Supplies,Pens & Art Supplies,Newell 335,Wrap Bag,0.56,8/6/2015
234,1573,12/27/2015,High,13,759.94,0.09,Delivery Truck,-226.45,60.89,32.41,Lena Radford,Appleton,54915,Wisconsin,Central,Small Business,Furniture,Chairs & Chairmats,"Global Push Button Manager's Chair, Indigo",Jumbo Drum,0.56,12/29/2015
247,1701,5/18/2015,High,49,2047.58,0.01,Regular Air,902.62,40.98,1.99,Ed Ludwig,Duncanville,75116,Texas,Central,Consumer,Technology,Computer Peripherals,"Imation Printable White 80 Minute CD-R Spindle, 50/Pack",Small Pack,0.44,5/20/2015
248,1701,5/18/2015,High,1,56.61,0.02,Regular Air,-22.16,40.97,14.45,Ed Ludwig,Duncanville,75116,Texas,Central,Consumer,Furniture,Office Furnishings,Dana Halogen Swing-Arm Architect Lamp,Large Box,0.57,5/20/2015
254,1764,3/24/2015,Critical,7,59.99,0.1,Regular Air,-13.78,8.34,4.82,Hallie Redmond,Coos Bay,97420,Oregon,West,Small Business,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,Small Box,0.4,3/27/2015
257,1793,7/11/2015,Not Specified,36,233.43,0.03,Regular Air,-71.90,6.28,5.36,Joni Blumstein,Broken Arrow,74012,Oklahoma,Central,Home Office,Office Supplies,Binders and Binder Accessories,GBC Standard Plastic Binding Systems' Combs,Small Box,0.4,7/11/2015
258,1796,11/20/2015,High,43,183.41,0.07,Regular Air,-125.41,4.13,5.04,Deanra Eno,Rose Hill,24281,Virginia,South,Corporate,Office Supplies,Binders and Binder Accessories,"ACCOHIDE® 3-Ring Binder, Blue, 1""",Small Box,0.38,11/20/2015
264,1826,4/15/2015,Not Specified,5,28.32,0.09,Regular Air,-14.35,4.98,4.75,Susan Vittorini,Mandan,58554,North Dakota,Central,Corporate,Office Supplies,Paper,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Small Box,0.36,4/16/2015
267,1856,3/19/2015,Not Specified,24,1449.3,0.08,Regular Air,-712.14,60.98,49,Alex Avila,Leawood,66209,Kansas,Central,Home Office,Office Supplies,Appliances,Euro Pro Shark Stick Mini Vacuum,Large Box,0.59,3/21/2015
268,1856,3/19/2015,Not Specified,43,4374.6865,0.05,Regular Air,973.16,125.99,8.08,Alex Avila,Leawood,66209,Kansas,Central,Home Office,Technology,Telephones and Communication,M3682,Small Box,0.57,3/20/2015
269,1856,3/19/2015,Not Specified,44,4283.235,0.1,Regular Air,676.13,125.99,8.8,Alex Avila,Leawood,66209,Kansas,Central,Home Office,Technology,Telephones and Communication,StarTAC 6500,Small Box,0.59,3/20/2015
279,1925,3/4/2015,Critical,40,909.82,0.02,Regular Air,292.49,22.98,1.99,Brian Moss,Bowling Green,42104,Kentucky,South,Corporate,Technology,Computer Peripherals,"Memorex 80 Minute CD-R, 30/Pack",Small Pack,0.46,3/6/2015
280,1925,3/4/2015,Critical,7,1874.37,0.08,Regular Air,67.84,276.2,24.49,Brian Moss,Wichita,67212,Kansas,Central,Corporate,Furniture,Chairs & Chairmats,SAFCO Arco Folding Chair,Large Box,,3/5/2015
286,1991,9/6/2015,Not Specified,27,3491.06,0.09,Regular Air,921.70,136.98,24.49,Barry Franz,West Mifflin,15122,Pennsylvania,East,Corporate,Furniture,Office Furnishings,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",Large Box,0.59,9/6/2015
287,1991,9/6/2015,Not Specified,37,14383.83,0.01,Delivery Truck,5050.10,399.98,12.06,Barry Franz,West Mifflin,15122,Pennsylvania,East,Corporate,Technology,Office Machines,Okidata ML320 Series Turbo Dot Matrix Printers,Jumbo Box,0.56,9/7/2015
289,2022,3/14/2015,Critical,45,186.44,0,Regular Air,-157.18,3.95,5.13,Alan Hwang,Port Arthur,77642,Texas,Central,Corporate,Office Supplies,Appliances,"Hoover Replacement Belts For Soft Guard™ & Commercial Ltweight Upright Vacs, 2/Pk",Small Box,0.59,3/15/2015
290,2023,5/5/2015,Low,4,294.89,0.09,Regular Air,-321.84,73.98,12.14,Sam Craven,Evans,30809,Georgia,South,Home Office,Technology,Computer Peripherals,Keytronic 105-Key Spanish Keyboard,Small Box,0.67,5/5/2015
291,2023,5/5/2015,Low,50,246.57,0.06,Regular Air,-132.51,4.98,5.49,Sam Craven,Evans,30809,Georgia,South,Home Office,Office Supplies,Paper,Xerox 1952,Small Box,0.38,5/7/2015
296,2052,4/12/2015,High,23,107.93,0,Regular Air,-68.14,4.13,5.34,Rob Lucas,East Los Angeles,90022,California,West,Small Business,Office Supplies,Binders and Binder Accessories,ACCOHIDE® Binder by Acco,Small Box,0.38,4/14/2015
299,2054,6/7/2015,Not Specified,1,343.78,0.09,Regular Air,-246.51,363.25,19.99,Katrina Willman,Reston,20190,Virginia,South,Consumer,Office Supplies,Appliances,Hoover WindTunnel™ Plus Canister Vacuum,Small Box,0.57,6/10/2015
300,2054,6/7/2015,Not Specified,34,826.09,0.03,Regular Air,215.86,22.98,7.58,Katrina Willman,Reston,20190,Virginia,South,Consumer,Furniture,Office Furnishings,"Seth Thomas 12"" Clock w/ Goldtone Case",Small Box,0.51,6/9/2015
307,2146,9/13/2015,Not Specified,41,6111.1685,0.06,Regular Air,1663.08,175.99,4.99,Todd Boyes,Sun Prairie,53590,Wisconsin,Central,Small Business,Technology,Telephones and Communication,5165,Small Box,0.59,9/14/2015
308,2146,9/13/2015,Not Specified,44,113.71,0.07,Regular Air,41.70,2.61,0.5,Todd Boyes,Superior,54880,Wisconsin,Central,Small Business,Office Supplies,Labels,Avery 479,Small Box,0.39,9/15/2015
309,2147,9/5/2015,Not Specified,15,605.1,0.04,Express Air,92.81,40.98,5.33,Hallie Redmond,Ferguson,63135,MO,Central,Home Office,Office Supplies,Appliances,Belkin 8 Outlet Surge Protector,Small Box,0.57,9/7/2015
316,2209,7/9/2015,High,27,9418.73,0,Delivery Truck,2245.24,320.98,58.95,Pete Armstrong,Owasso,74055,Oklahoma,Central,Consumer,Furniture,Chairs & Chairmats,Hon 4070 Series Pagoda™ Round Back Stacking Chairs,Jumbo Drum,0.57,7/11/2015
317,2209,7/9/2015,High,1,5.68,0.02,Regular Air,-1.82,4.76,0.88,Pete Armstrong,Owasso,74055,Oklahoma,Central,Consumer,Office Supplies,Paper,Wirebound Voice Message Log Book,Wrap Bag,0.39,7/10/2015
318,2209,7/9/2015,High,42,174.59,0.08,Regular Air,25.88,4.28,0.94,Pete Armstrong,Owasso,74055,Oklahoma,Central,Consumer,Office Supplies,Pens & Art Supplies,Newell 336,Wrap Bag,0.56,7/9/2015
319,2209,7/9/2015,High,13,1265.497,0.1,Regular Air,-161.12,125.99,3,Pete Armstrong,Owasso,74055,Oklahoma,Central,Consumer,Technology,Telephones and Communication,270c,Small Box,0.59,7/10/2015
324,2240,3/5/2015,Not Specified,17,186.02,0.01,Regular Air,16.48,10.64,5.16,Sarah Brown,Columbia,38401,Tennessee,South,Consumer,Furniture,Office Furnishings,"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",Small Box,0.57,3/6/2015
325,2240,3/5/2015,Not Specified,5,142.44,0.06,Regular Air,-22.12,28.15,6.17,Sarah Brown,Columbia,38401,Tennessee,South,Consumer,Office Supplies,Pens & Art Supplies,"Boston Model 1800 Electric Pencil Sharpener, Gray",Small Pack,0.55,3/6/2015
328,2247,8/1/2015,Not Specified,6,21134.71,0.06,Delivery Truck,-4266.09,3502.14,8.73,Clay Cheatham,Vancouver,98661,Washington,West,Small Business,Technology,Office Machines,Okidata Pacemark 4410N Wide Format Dot Matrix Printer,Jumbo Box,0.57,8/3/2015
330,2275,10/21/2015,Not Specified,49,278,0.08,Regular Air,41.67,6.08,1.17,Grant Carroll,Crystal Lake,60014,Illinois,Central,Small Business,Office Supplies,Pens & Art Supplies,Col-Erase® Pencils with Erasers,Wrap Bag,0.56,10/22/2015
356,2497,8/26/2015,Critical,21,3629.1175,0.06,Regular Air,636.03,205.99,5.26,Michael Moore,Palm Coast,32137,Florida,South,Corporate,Technology,Telephones and Communication,i470,Small Box,0.56,8/28/2015
357,2500,8/14/2015,High,5,22.56,0.04,Regular Air,-25.56,3.36,6.27,Bobby Elias,San Luis Obispo,93405,California,West,Small Business,Office Supplies,Binders and Binder Accessories,Cardinal Poly Pocket Divider Pockets for Ring Binders,Small Box,0.4,8/16/2015
365,2560,9/4/2015,Critical,32,731.22,0,Regular Air,-84.07,20.97,6.5,Harold Ryan,Westerville,43081,Ohio,East,Home Office,Technology,Computer Peripherals,Microsoft Internet Keyboard,Small Box,0.78,9/5/2015
366,2560,9/4/2015,Critical,23,114.14,0.07,Regular Air,-65.62,4.98,5.49,Harold Ryan,Westerville,43081,Ohio,East,Home Office,Office Supplies,Paper,Xerox 1952,Small Box,0.38,9/6/2015
367,2562,7/31/2015,Critical,28,64.82,0.02,Regular Air,-32.03,2.12,1.99,Cindy Chapman,Oro Valley,85737,Arizona,West,Consumer,Technology,Computer Peripherals,Fuji Slim Jewel Case CD-R,Small Pack,0.55,8/3/2015
368,2562,7/31/2015,Critical,6,77.6,0.08,Regular Air,-37.07,11.34,11.25,Cindy Chapman,Oro Valley,85737,Arizona,West,Consumer,Office Supplies,Paper,Staples 1 Part Blank Computer Paper,Small Box,0.36,8/2/2015
369,2562,7/31/2015,Critical,17,821.18,0.04,Express Air,308.63,48.91,5.81,Cindy Chapman,Oro Valley,85737,Arizona,West,Consumer,Office Supplies,Paper,Xerox 1891,Small Box,0.38,8/1/2015
380,2630,10/23/2015,Low,31,146.51,0.04,Regular Air,37.14,4.73,1.52,Patrick Ryan,Winter Springs,32708,Florida,South,Corporate,Office Supplies,Paper,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",Wrap Bag,0.36,10/23/2015
389,2688,1/22/2015,High,31,2080.035,0.1,Regular Air,844.90,85.99,1.25,Thais Sissman,Poinciana,34759,Florida,South,Small Business,Technology,Telephones and Communication,Accessory8,Small Pack,0.39,1/23/2015
390,2688,1/22/2015,High,7,145.42,0.09,Regular Air,-98.46,20.97,6.5,Thais Sissman,Pompano Beach,33068,Florida,South,Small Business,Technology,Computer Peripherals,Microsoft Internet Keyboard,Small Box,0.78,1/23/2015
391,2688,1/22/2015,High,11,1559.4355,0.01,Regular Air,61.24,155.99,3.9,Thais Sissman,Pompano Beach,33068,Florida,South,Small Business,Technology,Telephones and Communication,T39m,Small Box,0.55,1/24/2015
392,2691,4/29/2015,Low,14,3363.14,0.1,Delivery Truck,98.75,260.98,41.91,Ted Trevino,Pharr,78577,Texas,Central,Corporate,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Jumbo Box,0.59,5/8/2015
402,2755,2/5/2015,Not Specified,30,736.3,0.03,Regular Air,259.07,24.95,2.99,Jane Waco,Wooster,44691,Ohio,East,Corporate,Office Supplies,Binders and Binder Accessories,Large Capacity Hanging Post Binders,Small Box,0.39,2/5/2015
403,2755,2/5/2015,Not Specified,50,346.06,0,Regular Air,-76.54,6.48,5.86,Jane Waco,Wooster,44691,Ohio,East,Corporate,Office Supplies,Paper,Xerox 1904,Small Box,0.36,2/5/2015
424,2848,3/9/2015,Critical,35,1476.39,0.06,Express Air,-303.62,43.31,15.9,Emily Grady,Prairie Village,66202,Kansas,Central,Home Office,Furniture,Office Furnishings,Eldon Advantage® Chair Mats for Low to Medium Pile Carpets,Medium Box,0.75,3/11/2015
425,2848,3/9/2015,Critical,8,863.583,0.04,Regular Air,-264.28,125.99,8.99,Emily Grady,Prairie Village,66202,Kansas,Central,Home Office,Technology,Telephones and Communication,SC7868i,Small Box,0.55,3/11/2015
432,2885,9/18/2015,Not Specified,29,197.41,0.06,Regular Air,-128.68,6.48,8.4,Nora Price,Richmond,23223,Virginia,South,Home Office,Office Supplies,Paper,Xerox 212,Small Box,0.37,9/18/2015
433,2885,9/18/2015,Not Specified,46,712.18,0.06,Regular Air,13.98,15.42,5.41,Nora Price,Richmond,23223,Virginia,South,Home Office,Office Supplies,Storage & Organization,Decoflex Hanging Personal Folder File,Small Box,0.59,9/20/2015
434,2912,3/11/2015,Low,7,16587.13,0.08,Delivery Truck,-3476.86,2550.14,29.7,Tamara Dahlen,Pflugerville,78660,Texas,Central,Corporate,Technology,Office Machines,Epson DFX-8500 Dot Matrix Printer,Jumbo Drum,0.57,3/13/2015
